name,address,category
Al`Habibi Beauty for Moms,"Улица Толе би, 61, Астана",Красота
БиоДент,"Проспект Мангилик Ел, 50, Астана",Красота
Zarastudio,"Улица Каныш Сатпаев, 23/2, Астана",Красота
Ta Beauty,"Улица Шамши Калдаяков, 1, Астана",Красота
CROP Barbershop,"Улица Орынбор, 12 Блок 2, Астана",Красота
Lux Nail,"ЖК Алан, проспект Улы Дала, 61, Астана",Красота
Level,"Улица Шамши Калдаяков, 3, Астана",Красота
Dolce-noce,"Улица Туркестан, 10, Астана",Красота
El patron,"Улица Алихан Бокейхан, 16, Астана",Красота
Persona Spa,"Улица Темирбек Жургенов, 18, Астана",Красота
Биоген,"Улица Чингиз Айтматов, 36, Астана",Красота
Zarastudio,"Проспект Улы Дала, 56/2, Астана",Красота
The Дети,"ТЦ Green Mall, улица Сыганак, 17Б, Астана",Красота
Lotus Thai SPA,"Проспект Тауелсиздик, 34/2, Астана",Красота
