name,address,category
Soho Market,"Керей, Жанибек хандар улица, 42/1, Астана",Продукты
Small,"Улица Биржан сал, 2, Астана",Продукты
Cherry market,"Улица Достык, 8Б, Астана",Продукты
Айжан,"Улица Кайым Мухамедханов, 7, Астана",Продукты
Blizzko,"Улица Александр Бараев, 18/2, Астана",Продукты
Fix price,"Проспект Богенбай батыр, 34, Астана",Продукты
Fix price,"Улица Ахмет Байтурсынулы, 31, Астана",Продукты
Fix price,"Проспект Богенбай батыр, 53, Астана",Продукты
Bai market,"Улица Туркестан, 10, Астана",Продукты
Fix price,"Улица Ер Таргын, 38/1, Астана",Продукты
Республика,"Улица Е-36, 9, Астана",Продукты
Любимый,"Улица Балкантау, 77, Астана",Продукты
Antalya,"Микрорайон Самал, 10, Астана",Продукты
Масяня,"Улица Александр Герцен, 86, Астана",Продукты
Baimarket,"Улица Кайым Мухамедханов, 12, Астана",Продукты
777,"Проспект Мангилик Ел, 54, Астана",Продукты
Fix price,"Улица Шалкоде, 2а, Астана",Продукты
Ару қала,"Улица Анет баба, 10, Астана",Продукты
Fix price,"Проспект Богенбай батыр, 23, Астана",Продукты
Тамаша,"Керей, Жанибек хандар улица, 12/1, Астана",Продукты
Kenmart,"Улица Шабал Бейсековой, 4/1, Астана",Продукты
Ағайынды,"Улица Кордай, 79, Астана",Продукты
Наш Маркет,"Улица Караменде би Шакаулы, 12а, Астана",Продукты
Sisters` market,"Керей, Жанибек хандар улица, 2, Астана",Продукты
Дос,"Улица Мойынты, 43а, Астана",Продукты
Ксюша,"Улица Мухтара Ауэзова, 15, Астана",Продукты
Aimart,"Кабанбай батыр проспект, 60/15, Астана",Продукты
Small,"Улица Е 882, 5, Астана",Продукты
Отау,"Улица А 102, 21, Астана",Продукты
Арзан,"ЖК Северное сияние, улица Достык, 5, Астана",Продукты
Регина,"Проспект Тауелсиздик, 23, Астана",Продукты
Big Market,"Улица Кайым Мухамедханов, 20/2, Астана",Продукты
Rancho,"Проспект Туран, 52, Астана",Продукты
Олжа,"Е-67 улица, 6, Астана",Продукты
