name,address,category
Amal hotel,"Проспект Мангилик Ел, 76, Астана",Пожить
Sky Luxe Hotel,"Улица Достык, 13, Астана",Пожить
Пегас,"Улица Бердибек Сокпакбаев, 14/4, Астана",Пожить
A99,"Улица Айнакол, 99, Астана",Пожить
Жастар,"Улица Александр Бараев, 10/3, Астана",Пожить
Марсель,"Улица Григория Потанина, 1/3, Астана",Пожить
Elite,"Улица Шокан Уалиханов, 9/2, Астана",Пожить
Qonaq,"Проспект Мангилик Ел, 50, Астана",Пожить
Агидель,"Гете улица, 1Б, Астана",Пожить
Нура,"Каркаралы, 5, Астана, Целиноградский район",Пожить
Гостиница,"Улица Алексея Петрова, 21/1, Астана",Пожить
Seven Inn,"Улица Алихан Бокейхан, 2, Астана",Пожить
Adal guesthouse,"Проспект Улы Дала, 59, Астана",Пожить
VIP House Астана,"ЖК Северное сияние, улица Достык, 5/1, Астана",Пожить
Эфир,"Проспект Женис, 52/1, Астана",Пожить
Rada,"Проспект Республики, 52/2, Астана",Пожить
Тарханский дворик,"Улица Жанибека тархана, 20, Астана",Пожить
Ханшайым,"Улица Борили, 52, Астана",Пожить
Porta fortuna,"Альмукан Сембинов улица, 11/3, Астана",Пожить
Байкал,"Переулок Музбел, 4, Астана",Пожить
Raisson Aparthotel,"Улица Толе би, 48, Астана",Пожить
Алма,"Проспект Абая, 73/7, Астана",Пожить
Kausar,"Проспект Богенбай батыр, 6/2, Астана",Пожить
Home Hotel Astana,"Улица Манас, 9а, Астана",Пожить
Индус,"Улица Илияс Есенберлин, 19, Астана",Пожить
Төр,"Амангельды Иманова улица, 12, Астана",Пожить
Шағын,"Улица Сауран, 2, Астана",Пожить
Космос,"Улица Илияс Есенберлин, 38, Астана",Пожить
Любимый,"Улица Балкантау, 77, Астана",Пожить
Триумф Комфорт,"Кабанбай батыр проспект, 11, Астана",Пожить
Ағыс,"Улица Акбокен, 5, Астана",Пожить
AparTinn,"ЖК Северное сияние, улица Достык, 5, Астана",Пожить
Fly Apart,"Аль-Фараби проспект, 76, Астана",Пожить
Бақыт,"Улица Ыкылас Дукенулы, 1, Астана",Пожить
Adem,"Улица Кенесары, 8, Астана",Пожить
Жадыра,"ЖК Достар 2, улица Габидена Мустафина, 21/7, Астана",Пожить
Казанат,"Улица Ахмет Байтурсынулы, 43/2, Астана",Пожить
Интер,"Улица Абикен Бектуров, 4/6, Астана",Пожить
apartamens_in_astana,"Улица Туркестан, 16, Астана",Пожить
Столичный Уют,"Улица Сыганак, 64/1, Астана",Пожить
Elysian,"Улица Алихан Бокейхан, 2, Астана",Пожить
Aqzhol,"Проспект Акжол, 54, Астана",Пожить
Люкс,"Улица Биржан сал, 8, Астана",Пожить
Мухамеджан Тынышбайулы,"Улица Мухамеджан Тынышбайулы, 8, Астана",Пожить
Hotel Hostel House,"Проспект Улы Дала, 47/1, Астана",Пожить
Мейман,"Проспект Бауыржан Момышулы, 6/1, Астана",Пожить
Aq-Tilek,"Улица Лайлы-Мажнун, 5, Астана",Пожить
Алас,"Улица Манас, 9а, Астана",Пожить
Пикник,"Улица Асенбай Калкабекулы, 1а, Косшы, Косшы городская администрация, Акмолинская область",Пожить
Prospect,"Улица Сыганак, 27, Астана",Пожить
Апартаменты Астаны,"Проспект Ракымжан Кошкарбаев, 10/1, Астана",Пожить
Б-5,"Улица Евгения Брусиловского, 5, Астана",Пожить
Ночлег,"Улица Сарайшык, 38, Астана",Пожить
miniRoom,"Проспект Шакарим Кудайбердыулы, 10, Астана",Пожить
Astana,"Улица Ахмет Байтурсынулы, 49/1, Астана",Пожить
Caps Lock hotel,"Кабанбай батыр проспект, 119, Астана",Пожить
Royal,"Улица Ахмет Байтурсынулы, 53/1, Астана",Пожить
Хостел,"Улица Зеренды, 41а, Астана",Пожить
Сапсан,"Переулок Бесшатыр, 11, Астана",Пожить
Bostan,"Улица Желтоксан, 48/1, Астана",Пожить
Dos,"Улица Габидена Мустафина, 21/3, Астана",Пожить
MiniGoстиница,"ЖК Алматау, Кабанбай батыр проспект, 29, Астана",Пожить
posutochno_po_momyshuly,"Проспект Бауыржан Момышулы, 17, Астана",Пожить
Belon Garden,"Улица Сарытогай, 3а, Астана",Пожить
Sultan,"Улица Сарайшык, 34, Астана",Пожить
Holiday House,"Улица Жанкент, 110, Астана",Пожить
