name,address
Salt,"Кабанбай батыр проспект, 3, Астана"
Boho,"Улица Туркестан, 14, Астана"
Pinta,"ТРЦ Keruencity, шоссе Коргалжын, 1, Астана"
Aq Anyz,"Улица Алихан Бокейхан, 10, Астана"
Saf,"Улица Касым Аманжолов, 24, Астана"
Squad,"Кабанбай батыр проспект, 9/2, Астана"
Draft,"Улица Жумабека Ташенова, 27, Астана"
Okadzaki.kz,"Аль-Фараби проспект, 1, Астана"
La Rivière,"Кабанбай батыр проспект, 1, Астана"
Whisky Rüm,"Улица Сыганак, 58/1, Астана"
Black Duck,"Улица Кайым Мухамедханов, 4/2, Астана"
Okadzaki.kz,"Улица Шамши Калдаяков, 23, Астана"
Veranda,"Проспект Туран, 15, Астана"
Cloud Bar Terrace,"Улица Айша биби, 38, Астана"
Кызылкум,"Переулок Кызылкум, 13, Астана"
Marcello,"Улица Туркестан, 28а, Астана"
Ariya,"Улица Кайым Мухамедханов, 5, Астана"
Shashlyk Pub,"Улица Кайым Мухамедханов, 4а, Астана"
Скандалистъ,"Проспект Туран, 3, Астана"
Okadzaki.kz,"Проспект Туран, 55, Астана"
Angime есть,"Проспект Ракымжан Кошкарбаев, 34, Астана"
CA Lounge,"ТЦ Abu Dhabi Plaza, улица Сыганак, 60/5, Астана"
Тарту,"ЖК Триумфальная Арка, проспект Мангилик Ел, 35, Астана"
Угли,"Проспект Республики, 23/1, Астана"
Хачапури,"ЖК Триумфальная Арка, проспект Мангилик Ел, 35, Астана"
Aula,"Кабанбай батыр проспект, 56, Астана"
Бейжің Хого,"Улица Каныш Сатпаев, 13/1, Астана"
CrepeCafe,"Проспект Туран, 5/5, Астана"
Pinta,"БЦ Азия, улица Мухтара Ауэзова, 8, Астана"
Take Eat Easy,"Улица Туркестан, 28а, Астана"
Meat point,"Проспект Улы Дала, 45, Астана"
Шишка,"Улица Каныш Сатпаев, 18, Астана"
Dark Side,"Проспект Мангилик Ел, 52а, Астана"
SF,"Проспект Улы Дала, 65, Астана"
Фергана,"Гостиница Казжол, улица Балкантау, 213, Астана"
Лаундж-бар,"Гостиница Пекин Палас, улица Сыганак, 45, Астана"
Пивоварофф,"Евразия-3, улица Алексея Петрова, 24а/1, Астана"
Proseccarna,"Улица Бухар жырау, 28, Астана"
The chef,"Проспект Ракымжан Кошкарбаев, 10/1, Астана"
LaMaro,"Улица Абикен Бектуров, 3/2, Астана"
Berёzka,"Проспект Мангилик Ел, 55а, Астана"
Local Pub,"Улица Абикен Бектуров, 1а, Астана"
Wah-Wah,"Проспект Женис, 5, Астана"
Era restaurant,"Кабанбай батыр проспект, 9/2, Астана"
Дареджани,"Проспект Республики, 11, Астана"
Узбечка №1,"Улица Жумекен Нажимеденов, 26, Астана"
Hungry Rabbit,"Улица Сакена Сейфуллина, 38, Астана"
Asther,"Проспект Туран, 41/1, Астана"
Gezellig Room,"Проспект Мангилик Ел, 16, Астана"
Ocean Basket,"Улица Сыганак, 17д, Астана"
Okadzaki.kz,"Улица Кайым Мухамедханов, 6Б, Астана"
Томирис,"Шоссе Коргалжын, 9, Астана"
Soul Kitchen,"Улица Е 900, 2, Астана"
Safran,"Хан Шатыр, проспект Туран, 37, Астана"
Rich,"Улица Александр Бараев, 18/2, Астана"
Svoy,"Парк Жерұйық, проспект Магжана Жумабаева, 24, Астана"
Nino,"Улица Акмешит, 1 блок 1, Астана"
Uno,"Улица Кенесары, 13, Астана"
Line Brew,"Проспект Мангилик Ел, 55 B2.4, Астана"
Sybaga,"Улица Гейдара Алиева, 2, Астана"
Asakusa,"Кабанбай батыр проспект, 1, Астана"
Meat&Beer,"Проспект Мангилик Ел, 54, Астана"
ibis Kitchen,"Проспект Тауелсиздик, 38, Астана"
Mare,"Улица Наркескен, 1, Астана"
Kobe,"Улица Кайым Мухамедханов, 4 блок B, Астана"
Urban Plov,"Улица Алихан Бокейхан, 16, Астана"
La Belle,"Проспект Женис, 3, Астана"
ETRO restaurant&terrace,"Улица Е 871, 1/1, Астана"
Taboo,"Улица Абикен Бектуров, 3/2, Астана"
Buddies,"Улица Абикен Бектуров, 3/1, Астана"
Дареджани,"ТРЦ MEGA Silk Way, Кабанбай батыр проспект, 62, Астана"
Угли Premium,"Улица Достык, 4, Астана"
Panda Lamian,"Улица Желтоксан, 2т, Астана"
Сербский Роштиль,"Улица Жанибека тархана, 2/2, Астана"
